country,installation_id,installation_name,installation_city,account_holder,account_status,permit_id,status,latest_update,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Austria,14,Voestalpine Kokerei Linz,Linz,voestalpine Stahl GmbH,closed,IVA063,Permit Revoked,2009-05-08 09:13:58,1330079,1330079,1330079,985761,985761,985761,985761,985761,,,,,,,,
Austria,15,Voestalpine Kraftwerk Linz,Linz,voestalpine Stahl GmbH,closed,IVA064,Permit Revoked,2009-05-08 09:13:58,2129215,2129215,2129215,1771401,1771401,1771401,1771401,1771401,,,,,,,,
Austria,16,Voestalpine Stahl Linz,Linz,voestalpine Stahl GmbH,open,IVA062,Active,2013-12-19 15:48:03,5043811,5043811,5043811,4380526,4380526,4380526,4380526,4380526,6861779,6737251,6611507,6484708,6356793,6227879,6097614,5967119
Austria,17,VOEST-Alpine Stahl Linz (Kalk) Steyrling,Linz,voestalpine Stahl GmbH,open,IKA120,Active,2014-04-23 10:51:55,340195,340195,340195,325873,325873,325873,325873,325873,304075 64032***,298793 65057***,293450 63905***,288050 62753***,282593 61601***,277082 60449***,271503 59297***,265904 58145***
Austria,18,FHKW Süd Inzersdorf,Wien,WIEN ENERGIE GmbH,open,EFE043,Active,2013-12-19 15:47:40,4485,4485,4485,6952,6952,6952,6952,6952,2702,2419,2142,1874,1615,1363,1120,886
Austria,19,FHKW Kagran Fernwärme Wien,Wien,WIEN ENERGIE GmbH,open,EFE044,Active,2015-12-04 10:27:23,7146,7146,7146,4907,4907,4907,4907,4907,1851,3312,0,0,0,0,0,0
Austria,20,FW Leopoldau Fernwärme Wien,Wien,WIEN ENERGIE GmbH,open,EFE045,Active,2013-12-19 15:47:41,8110,8110,8110,3435,3435,3435,3435,3435,2299,2058,1822,1595,1374,1160,953,754
Austria,21,FHKW Arsenal Fernwärme Wien,Wien,WIEN ENERGIE GmbH,closed,EFE046,Permit Revoked,2016-02-11 11:07:52,9117,9117,9117,4997,4997,4997,4997,4997,3658,6546,0,0,0,0,0,0
Austria,22,Ziegelwerk Pichler Wels,Wels,Ziegelwerk Pichler Wels Gesellschaft m.b.H.,open,IZI145,Active,2013-12-19 15:48:10,20930,20930,20930,23086,23086,23086,23086,23086,20495,20139,19779,19415,19046,18676,18300,17922
Austria,23,Kalkwerk Wopfing,Waldegg,Baumit GmbH,open,IKA121,Active,2013-12-19 15:47:52,176207,176207,176207,137792,137792,137792,137792,137792,124431,122270,120084,117874,115641,113386,111103,108811
Austria,24,Zementwerk Wopfing,Waldegg,Baumit GmbH,open,IZE202,Active,2014-04-09 11:37:03,218927,218927,218927,233270,233270,233270,233270,233270,244038 36287***,239669 35656***,235255 35024***,230800 34393***,226303 33761***,221770 33130***,217185 32499***,212591 31867***
Austria,25,AMI Agrolinz Melamine International Linz,Linz,Borealis Agrolinz Melamine GmbH,open,ICH114,Active,2013-12-19 15:48:22,87252,87252,87252,85080,85080,85080,85080,85080,242887,237354,231818,226286,220755,215233,209703,204209
Austria,26,Raffinerie Schwechat,Schwechat,OMV Downstream GmbH,open,EMV061,Active,2013-12-19 15:48:14,2720740,2720740,2720740,2491436,2491436,2491436,2491436,2491436,1803162,1759171,1715882,1675141,1635202,1595273,1555261,1515471
Austria,27,OMV Gasstation Aderklaa II,Aderklaa,OMV Austria Exploration & Production GmbH,open,EMV059,Active,2019-08-09 15:42:16,14881,14881,14881,14214,14214,14214,14214,14214,14551,14298,14045,13792,13539,13285,8202,8043
Austria,28,OMV Gasstation Aderklaa I,Ardeklaa,OMV Austria Exploration & Production GmbH,open,EMV060,Active,2013-12-19 15:48:13,31704,31704,31704,28547,28547,28547,28547,28547,35925,35300,34675,34050,33425,32800,32174,31549
Austria,29,Ziegelwerk Weindl Steyr,Steyr,Weindl Gesellschaft m.b.H.,closed,IZI160,Account Closed,2012-02-29 11:14:11,3397,3397,3397,2878,2878,2878,2878,,,,,,,,,
Austria,30,Ziegelwerk Lizzi Erlach,Bad Erlach,Ziegelwerk Lizzi GmbH,open,IZI152,Active,2013-12-19 15:48:11,1933,1933,1933,1605,1605,1605,1605,1605,796,783,769,755,741,725,711,697
Austria,31,Gmundner Zement Gmunden,Gmunden,Zementwerk Hatschek GmbH,open,IZE077,Active,2013-12-19 15:48:06,343437,343437,343437,333309,333309,392937,354992,354992,355431,349257,343011,336700,330320,323879,317358,310813
Austria,32,Salzburg AG FHKW Mitte Salzburg,Salzburg,"Salzburg AG für Energie, Verkehr und Telekommunikation",open,EEW024,Active,2014-04-09 11:37:04,218621,218621,218621,181423,181423,181423,181423,181423,66770 14404***,59752 12890***,52934 11419***,46332 9995***,39937 8615***,33749 7281***,27762 5989***,21989 4744***
Austria,33,Salzburg AG FHKW Nord Salzburg,Salzburg,"Salzburg AG für Energie, Verkehr und Telekommunikation",open,EEW025,Active,2013-12-19 15:47:37,67510,67510,67510,61991,61991,61991,61991,61991,32492,28393,25154,22016,18977,16037,13192,10449
Austria,34,Salzburg AG FHKW West Salzburg,Salzburg,"Salzburg AG für Energie, Verkehr und Telekommunikation",closed,EEW26-1,Account Closed,2009-05-08 09:13:58,5098,5098,5098,,,,,,,,,,,,,
Austria,35,Salzburg AG HW Süd Salzburg,Salzburg,"Salzburg AG für Energie, Verkehr und Telekommunikation",closed,EFE035,Permit Revoked,2009-05-08 09:13:58,1750,1750,1750,411,411,411,411,411,,,,,,,,
Austria,36,Salzburg AG LKH Salzburg,Salzburg,"Salzburg AG für Energie, Verkehr und Telekommunikation",closed,EFE049,Permit Revoked,2009-05-08 09:13:58,6753,6753,6753,7684,7684,7684,7684,7684,,,,,,,,
Austria,37,F.M. Hämmerle Dornbirn,Dornbirn,F.M. Hämmerle Textil Produktion und Vertrieb GmbH,closed,ICH203,Permit Revoked,2013-03-26 18:08:40,12899,12899,12899,9981,9981,9981,9981,0,,,,,,,,
Austria,38,FHKW Klagenfurt Stadtwerke Klagenfurt,Klagenfurt,Stadtwerke Klagenfurt AG,open,EFE027,Active,2020-04-17 15:19:57,172725,172725,172725,151139,151139,151139,151139,151139,79747,66637,55309,48411,41728,35264,7252,0
Austria,39,Stw Heizwerk Süd Klagenfurt,Klagenfurt a. W.,Energie Klagenfurt GmbH,open,EFE057,Active,2019-02-26 09:38:32,1141,1141,1141,719,719,719,719,719,242,109,192,168,0,122,0,0
Austria,40,Ziegelwerk Eberschwang,Eberschwang,Ziegelwerk Eberschwang Gesellschaft m.b.H.,open,IZI158,Active,2018-02-27 11:12:09,4064,4064,4064,3876,3876,3876,3876,3876,3484,3424,3363,0,0,0,0,0
Austria,41,AMAG Service Ranshofen,Ranshofen,AMAG Service GmbH,open,IMS193,Active,2013-12-19 15:47:55,9628,9628,9628,9149,9149,9149,9149,9149,389,348,308,270,232,197,162,128
Austria,42,Ernstbrunner Kalktechnik Ernstbrunn,Ernstbrunn,Profibaustoffe Austria GmbH,open,IKA118,Active,2013-12-19 15:48:15,37687,37687,37687,33635,33635,33635,33635,33635,38590,37920,37242,36557,35864,35165,34457,33746
Austria,43,LS FHKW Mitte Linz Linie 1a,Linz,LINZ STROM GAS WÄRME GmbH,open,EEW021,Active,2013-12-19 15:48:19,259262,259262,259262,272540,272540,272540,272540,272540,121686,108897,96472,84439,72784,61507,50595,40074
Austria,44,LS FHKW Mitte Linz Linie 1b,Linz,LINZ STROM GAS WÄRME GmbH,closed,EEW022,Permit Revoked,2010-04-27 08:11:56,0,0,25680,0,0,238941,238941,238941,,,,,,,,
Austria,45,FHKW Dornach Linz AG Linz,Linz-Urfahr,LINZ STROM GAS WÄRME GmbH,open,EFE036,Active,2013-12-19 15:48:20,423,423,423,142,142,142,142,142,0,0,0,0,0,0,0,0
Austria,46,LS FHKW Süd Linz,Linz,LINZ STROM GAS WÄRME GmbH,open,EEW023,Active,2013-12-19 15:48:19,263211,263211,263211,306698,306698,306698,306698,306698,71294,63801,56521,49471,42643,36036,29643,23479
Austria,47,AGRANA Gmünd,Gmünd,AGRANA Stärke GmbH,open,ILE166,Active,2015-02-25 10:56:13,32566,32566,32566,33837,33837,33837,33837,33837,28705,27565,27245,26279,25326,24384,23456,22541
Austria,48,AGRANA Leopoldsdorf,Leopoldsdorf i. M.,AGRANA Zucker GmbH,open,ILE163,Active,2013-12-19 15:47:53,63684,63684,63684,77133,77133,77133,77133,77133,66220,65070,63907,62731,61542,60343,59128,57908
Austria,49,AGRANA Hohenau,Hohenau a.d.M.,AGRANA Zucker GmbH,closed,ILE162,Account Closed,2009-05-08 09:13:58,58866,58866,58866,0,0,0,0,0,,,,,,,,
Austria,50,AGRANA Aschach,Aschach,AGRANA Stärke GmbH,open,ILE165,Active,2019-12-17 11:14:56,80719,80719,80719,74854,74854,74854,74854,74854,57669,56666,55662,54659,53656 514***,52651 5942***,51648 5829***,50645 5715***
Austria,51,AGRANA Tulln,Tulln,AGRANA Zucker GmbH,open,ILE161,Active,2013-12-19 15:47:53,77919,77919,77919,87081,87081,87081,87081,87081,101514,99751,97967,96165,94343,92503,90640,88771
Austria,52,Ziegelwerk Eder Peuerbach Bruck,Peuerbach,Ziegelwerk Eder GmbH,open,IZI143,Active,2015-02-25 10:56:13,29680,29680,29680,29822,29822,29822,29822,29822,18006,17693,25336,24870,24399,23923,23442,22958
Austria,53,Dynea Krems,Krems,Metadynea Austria GmbH,open,ICH108,Active,2013-12-19 15:48:21,1526,1526,1526,1408,1408,1408,1408,1408,19446,19109,18767,18422,18073,17720,17363,17005
Austria,54,Ziegelwerk Eder Weibern,Weibern,Ziegelwerk Eder GmbH,open,IZI144,Active,2015-02-25 10:56:13,19787,19787,19787,21858,21858,21858,21858,21858,22029,12019,21260,20869,20473,20074,19670,19264
Austria,55,Wietersdorfer & Peggauer Zement Wietersdorf,Klein St. Paul,w&p Zement GmbH,open,IZE076,Active,2013-12-19 15:48:15,353341,408997,408997,350337,350337,350337,350337,350337,520634,511591,502441,493197,483853,474418,464865,455279
Austria,56,Wietersdorfer & Peggauer Zement Peggau,Peggau,w&p Zement GmbH,open,IZE075,Active,2014-08-06 12:11:16,191539,191539,191539,179028,179028,179028,179028,179028,662,650,639,627,615,603,591,579
Austria,57,Wietersdorfer & Peggauer (Kalk) Peggau,Peggau,w&p Kalk GmbH,open,IKA122,Active,2013-12-19 15:48:15,64591,64591,64591,66253,66253,66253,66253,66253,120762,118665,116542,114397,112230,110042,107826,105603
Austria,58,FWZ Voitsberg,Bärnbach,Energie Steiermark Wärme GmbH,open,EFE048,Active,2015-03-03 17:16:46,10240,10240,10240,20716,20716,20716,20716,20716,6439 499***,5762 5263***,5104 4662***,4465 4081***,3847 3517***,3248 2973***,2669 2445***,2111 1937***
Austria,59,DSM Fine Chemicals Austria Linz,Linz,Patheon Austria GmbH & CoKG,open,ICH112,Active,2017-01-23 14:36:10,32491,32491,32491,31421,31421,32432,32479,31830,90297,88729,87142,85539,13237,12980,12718,12455
Austria,60,FHKW Graz,Graz,Energie Steiermark Wärme GmbH,open,EFE037,Active,2013-12-19 15:48:14,20046,20046,20046,23903,23903,23903,23903,23903,25851,23136,20492,17930,15445,13042,10716,8477
Austria,61,Lafarge Perlmooser Retznei,Retznei,Lafarge Zementwerke GmbH,open,IZE073,Active,2013-12-19 15:48:06,316474,316474,316474,293107,293107,293107,293107,293107,293901,288796,283632,278413,273138,267812,262420,257008
Austria,62,TEICH AG Weinburg,Weinburg,Constantia Teich GmbH,open,IMS199,Active,2013-12-19 15:48:17,8495,8495,8495,10868,10868,10868,10868,10868,14522,13027,11571,10160,8792,7466,6185,4951
Austria,63,Lafarge Perlmooser Mannersdorf,Mannersdorf,Lafarge Zementwerke GmbH,open,IZE072,Active,2013-12-19 15:48:05,609479,609479,609479,536364,536364,536364,536364,594252,581745,571641,561417,551088,540647,530104,519430,508719
Austria,64,Swarovski Wattens,Wattens,D. Swarovski KG,open,IGL179,Active,2015-12-04 10:27:25,28730,28730,28730,33092,33092,33092,33092,33092,24333,23910,16311,16011,15707,15401,15090,14779
Austria,65,Tondach Gleinstätten,Gleinstätten,Wienerberger Österreich GmbH,open,IZI131,Active,2013-12-19 15:48:07,19613,19613,19613,25492,25492,25492,25492,25492,22068,21685,21297,20905,20509,20110,19705,19297
Austria,66,Tondach Pinkafeld,Riedlingsdorf,Wienerberger Österreich GmbH,open,IZI139,Active,2013-12-19 15:48:09,13540,13540,13540,16283,16283,16283,16283,16283,12801,12578,12354,12126,11897,11664,11430,11194
Austria,67,Tondach Unterpremstätten,Unterpremstätten,Tondach Gleinstätten AG,closed,IZI135,Permit Revoked,2016-07-04 12:14:31,7723,7723,7723,8351,8351,8351,8351,8351,0,0,0,0,0,0,0,0
Austria,68,Semperit Reifen Traiskirchen,Traiskirchen,Semperit Reifen Gesellschaft m.b.H.,closed,ICH111-1,Account Closed,2009-05-08 09:13:58,47558,47558,47558,,,,,,,,,,,,,
Austria,69,Kaindl Holzindustrie Wals,Wals,M. Kaindl KG,open,IHO192,Active,2015-02-25 10:56:13,61559,61559,61559,90752,90752,90752,90752,90752,145063,142542,91990,80485,69335,58545,48105,38056
Austria,70,Hilti Mettauer Götzis,Götzis,"Ziegelei Hilti, Mettauer GmbH",closed,IZI147,Permit Revoked,2013-03-26 18:08:39,3268,3268,3268,4621,4621,4621,0,0,,,,,,,,
Austria,71,Solvay Ebensee,Ebensee,Imerys Carbonates Austria GmbH,open,ICH110,Active,2020-09-16 17:10:00,85540,85540,85540,64521,64521,64521,64521,64521,25325,24864,24400,23932,23460,22983,22503,0
Austria,72,Veitsch-Radex Hochfilzen,Hochfilzen,Veitsch-Radex GmbH & Co OG,open,IFE126,Active,2013-12-19 15:47:48,152048,152048,152048,151173,151173,151173,151173,151173,134458,132123,129760,127373,124959,122523,120055,117581
Austria,73,Veitsch-Radex Radenthein,Radenthein,Veitsch-Radex GmbH & Co OG,open,IFE125,Active,2013-12-19 15:47:47,90138,90138,90138,83801,83801,83801,83801,83801,71769,70521,69261,67986,66698,65398,64081,62760
Austria,74,Veitsch-Radex Trieben,Trieben,Veitsch-Radex GmbH & Co OG,open,IFE127,Active,2013-12-19 15:47:48,22655,22655,22655,23651,23651,23651,23651,23651,21221,20854,20480,20103,19722,19338,18948,18558
Austria,75,Veitsch-Radex Veitsch,Veitsch,Veitsch-Radex GmbH & Co OG,open,IFE128,Active,2013-12-19 15:47:48,17590,17590,17590,15986,15986,15986,15986,15986,15496,15227,14955,14680,14402,14121,13837,13552
Austria,76,KW Timelkam III,Timelkam,Energie AG Oberösterreich Erzeugung GmbH,open,EEW003,Active,2009-05-08 09:13:58,4030,4030,4030,6268,6268,6268,6268,6268,,,,,,,,
Austria,77,Veitsch-Radex Breitenau,Breitenau am Hochlantsch,Veitsch-Radex GmbH & Co OG,open,IFE130,Active,2013-12-19 15:47:49,287795,287795,287795,225858,225858,225858,225858,225858,234296,230227,226109,221949,217744,213498,209199,204885
Austria,78,FW Kirchdorf,Kirchdorf a.d. Krems,Energie AG Oberösterreich Erzeugung GmbH,open,EFE017,Active,2013-12-19 15:47:38,14582,14582,14582,13655,13655,13655,13655,13655,10150,9083,8047,7043,6071,5130,4220,3342
Austria,79,KW Riedersbach,St. Pantaleon,Energie AG Oberösterreich Erzeugung GmbH,open,EEW001,Active,2013-12-19 15:47:33,535029,535029,535029,437140,437140,437140,437140,437140,8994,7468,6100,4888,3825,3195,2628,2081
Austria,80,KW Timelkam II,Timelkam,Energie AG Oberösterreich Erzeugung GmbH,open,EEW002,Active,2013-12-19 15:47:34,269523,269523,269523,171714,37606,37606,37606,37606,31409,28108,24900,21795,18787,15876,13060,10343
Austria,81,Energie-Contracting Steyr,Steyr,Energie-Contracting Steyr GmbH,open,IMS200,Active,2013-12-19 15:47:55,24541,24541,24541,24051,24051,24051,24051,24051,13808,12357,10946,9577,8250,6966,5724,4528
Austria,82,Papierfabrik Wattens,Wattens,Papierfabrik Wattens GmbH & Co KG,open,IPA079,Active,2013-12-19 15:47:56,25715,25715,25715,22301,22301,22615,24462,23303,27236,26763,26284,25801,25312,24818,24319,23817
Austria,83,CMOÖ GuD Anlage Laakirchen,Laakirchen,Cogeneration-Kraftwerke Management Oberösterreich GmbH,open,IPA102,Active,2013-12-19 15:48:02,253605,253605,253605,243831,243831,243831,243831,243831,5743,5140,4553,3985,3435,2903,2388,1892
Austria,84,Wienstrom KW Simmering Wien,Wien,WIEN ENERGIE GmbH,open,EEW031,Active,2014-04-09 11:37:22,1356634,1356634,1356634,693569,693569,693569,693569,693569,119124,213208,188880,165322,142503,120425,99059,78461
Austria,85,Wienstrom KW Donaustadt Wien,Wien,WIEN ENERGIE GmbH,open,EEW030,Active,2013-12-19 15:48:20,951362,951362,951362,933401,933401,933401,933401,933401,171412,153397,135894,118944,102526,86642,71270,56451
Austria,86,Wienstrom KW Leopoldau Wien,Wien,WIEN ENERGIE GmbH,open,EEW029,Active,2015-12-04 10:27:26,271920,271920,271920,304721,304721,304721,304721,304721,57903,51818,0,0,0,0,0,0
Austria,87,Nettingsdorfer Ansfelden,Haid beiAnsfelden,Smurfit Kappa Nettingsdorf AG & Co KG,open,IPA090,Active,2013-12-19 15:47:59,111062,111062,111062,92042,92042,92042,92042,92042,114925,112930,110911,108870,106808,104724,102616,100499
Austria,88,Ziegelwerk Frixeder Senftenbach,Senftenbach,SENFTENBACHER Ziegelwerk Flotzinger GmbH & Co KG,open,IZI156,Active,2013-12-19 15:48:12,14787,14787,14787,13556,13556,16641,14790,14790,12727,12505,12282,12056,11828,11597,11363,11130
Austria,89,Stadtwerke Kufstein,Kufstein,Bioenergie Kufstein GmbH,open,EFE047,Active,2013-12-19 15:47:41,13860,13860,13860,6252,6252,6252,6252,6252,13775,12328,10921,9559,8240,6963,5727,4537
Austria,90,Stadtwärme Lienz,Lienz,Stadtwärme Lienz Produktions- und Vertriebs-GmbH,open,EFE058,Active,2013-12-19 15:47:43,1490,1490,1490,2017,2017,2017,2017,2017,13370,11965,10600,9278,7997,6758,5559,4403
Austria,91,Zementwerk Hofmann Kirchdorf,Kirchdorf an der Krems,Kirchdorfer Zementwerk Hofmann GmbH,open,IZE074,Active,2013-12-19 15:48:06,239842,239842,239842,231583,231583,310605,284701,284701,294089,288838,283533,278178,272773,267321,261809,256284
Austria,92,Ziegelwerk Nicoloso Pottenbrunn,Pottenbrunn,Vittorio Nicoloso,closed,IZI154,Permit Revoked,2009-05-08 09:13:58,2377,2377,2377,985,985,985,985,985,,,,,,,,
Austria,93,Verbund KW 2 Pernegg,Pernegg,VERBUND Thermal Power GmbH & Co KG,closed,EEW10-1,Account Closed,2009-05-08 09:13:58,380,380,380,,,,,,,,,,,,,
Austria,94,Verbund KW Dürnrohr Zwentendorf,Zwentendorf,VERBUND Thermal Power GmbH & CO KG,closed,EEW007,Permit Revoked,2009-05-08 09:13:58,844193,844193,844193,1139438,1139438,1139438,1139438,1139438,,,,,,,,
Austria,95,Verbund KW Korneuburg,Korneuburg,VERBUND Thermal Power GmbH & CO KG,closed,EEW008,Permit Revoked,2009-05-08 09:13:58,1785,1785,1785,0,0,0,0,0,,,,,,,,
Austria,96,Verbund KW St. Andrä,St. Andrä im Lavanttal,VERBUND Thermal Power GmbH & CO KG,closed,EEW011,Permit Revoked,2009-05-08 09:13:58,155355,155355,155355,0,0,0,0,0,,,,,,,,
Austria,97,Verbund KW Voitsberg,Voitsberg,VERBUND Thermal Power GmbH & Co KG,closed,EEW012,Account Closed,2009-05-08 09:13:58,1199047,1199047,1199047,0,0,0,0,0,,,,,,,,
Austria,98,Verbund KW Zeltweg,Zeltweg,VERBUND Thermal Power GmbH & CO KG,closed,EEW015,Permit Revoked,2009-05-08 09:13:58,59627,59627,59627,0,0,0,0,0,,,,,,,,
Austria,99,Verbund FHKW Mellach,Wildon,VERBUND Thermal Power GmbH & CO KG,open,EEW009,Active,2013-12-19 15:47:35,817073,817073,817073,734102,734102,734102,734102,734102,134654,115795,100969,88375,76177,64375,52953,41942
Austria,100,Verbund FHKW Werndorf 1 Wildon,Neudorf ob Wildon,VERBUND Thermal Power GmbH & CO KG,closed,EEW013,Permit Revoked,2009-05-08 09:13:58,1,1,1,0,0,0,0,0,,,,,,,,
Austria,101,Verbund FHKW Werndorf 2 Wildon,Neudorf ob Wildon,VERBUND Thermal Power GmbH & CO KG,open,EEW014,Active,2013-12-19 15:49:37,265157,265157,265157,250267,250267,250267,250267,250267,1551,457,0,0,0,0,0,0
Austria,102,Inn Crystal Glass Braunau,Braunau am Inn,Walther GmbH,closed,IGL175,Permit Revoked,2013-03-26 18:08:40,3714,3714,3714,3171,3171,3171,3171,0,,,,,,,,
Austria,103,Kelag Wärme St. Magdalen,St. Magdalen,Kelag Energie & Wärme GmbH,open,EFE039,Active,2020-04-17 15:19:57,25939,25939,25939,23643,23643,23643,23643,23643,15495,13494,11954,10463,9019,7622,6269,2483
Austria,104,Kelag Wärme Prolactal Hartberg,Hartberg,Kelag Energie & Wärme GmbH,open,EFE052,Active,2018-02-27 11:12:09,1247,1247,1247,2312,2312,2312,2312,2312,1787,397,703,615,529,893,734,581
Austria,105,Kelag Wärme Badgastein,Bad Gastein,Kelag Energie & Wärme GmbH,closed,EFE050,Permit Revoked,2009-05-08 09:13:58,13446,13446,13446,8794,8794,8794,8794,8794,,,,,,,,
Austria,106,Glanzstoff St. Pölten,St. Pölten,GA Immobilien GmbH,closed,ICH105,Permit Revoked,2009-05-08 09:13:58,60878,60878,60878,60346,60346,60346,60346,60346,,,,,,,,
Austria,107,Ziegelwerk Brenner Wirth St. Andrä,St. Andrä,Wienerberger Österreich GmbH,open,IZI151,Active,2013-12-19 15:48:11,9921,9921,9921,9673,9673,9673,9673,9673,8379,8233,8086,7937,7787,7635,7481,7327
Austria,108,FHKW Thondorf,Graz,Energie Steiermark Wärme GmbH,open,EFE038,Active,2015-02-25 10:56:12,96790,96790,96790,89789,89789,89789,89789,89789,17417,3897,0,0,0,0,0,0
Austria,109,Herbert Pexider GmbH Teufenbach,Teufenbach,Herbert Pexider Gesellschaft m.b.H.,closed,IZI137,Permit Revoked,2015-10-13 12:40:43,12121,12121,12121,11693,11693,11693,11693,11693,9195,0,0,0,0,0,0,0
Austria,110,Sappi Gratkorn,Gratkorn,Sappi Austria Produktions-GmbH & Co. KG,open,IPA088,Active,2013-12-19 15:47:59,402766,583822,583822,383459,383459,383459,383459,383459,285329,280106,274832,269519,264160,258761,253307,247846
Austria,111,Wienerberger Knittelfeld (Apfelberg),Knittelfeld,Wienerberger Österreich GmbH,open,IZI134,Active,2013-12-19 15:48:08,8517,8517,8517,8894,8894,8894,8894,8894,9852,9681,9507,9332,9155,8977,8797,8615
Austria,112,Wienerberger Göllersdorf,Göllersdorf,Wienerberger Österreich GmbH,open,IZI138,Active,2013-12-19 15:48:09,16283,16283,16283,17701,17701,17701,17701,17701,16650,16361,16068,15773,15473,15173,14867,14560
Austria,113,Wienerberger Hennersdorf,Hennersdorf,Wienerberger Österreich GmbH,open,IZI132,Active,2013-12-19 15:48:07,24623,24623,24623,23831,23831,23831,23831,23831,17614,17308,16998,16686,16370,16051,15727,15403
Austria,114,Wienerberger Laa Thaya,Laa,Wienerberger Österreich GmbH,closed,IZI142,Permit Revoked,2013-02-11 11:59:29,13157,13157,13157,17313,17313,17313,0,0,,,,,,,,
Austria,115,Wienerberger Fürstenfeld,Fürstenfeld,Wienerberger Österreich GmbH,open,IZI136,Active,2020-09-14 15:28:56,6848,6848,6848,10189,10189,10189,10189,10189,9360,6347,4517,8867,8699,0,0,0
Austria,116,Wienerberger Krengelbach Haiding,Krenglbach,Wienerberger Österreich GmbH,open,IZI133,Active,2013-12-19 15:48:07,28486,28486,28486,26140,26140,26140,26140,26140,21782,21404,21021,20634,20243,19849,19449,19048
Austria,117,Wienerberger Rotenturm,Rotenturm,Wienerberger Österreich GmbH,open,IZI141,Active,2020-09-14 15:28:56,4147,4147,4147,3660,3660,3660,3660,3660,3406,3347,3287,1614,2405,2358,0,0
Austria,118,Borealis Schwechat,Schwechat,Borealis Polyolefine GmbH,open,ICH109,Active,2013-12-19 15:47:46,19096,19096,19096,14798,14798,14798,14798,14798,76040,74720,73384,72034,70669,69291,67896,66496
Austria,119,Wienerberger Helpfau Uttendorf,Uttendorf,Wienerberger Österreich GmbH,open,IZI140,Active,2013-12-19 15:48:09,8230,8230,8230,6906,6906,6906,6906,6906,5899,5797,5693,5588,5484,5376,5268,5159
Austria,120,M-real Hallein,Hallein,AustroCel Hallein GmbH,open,IPA089,Active,2013-12-19 15:47:59,118275,118275,118275,107796,107796,107796,107796,107796,14793,13425,12094,10800,9546,8330,7152,6017
